tweet,label
• Businesses and offices can reopen for staff and customers. Services can be provided in peoples’ homes. • Hairdressers and beauticians can reopen but must wear PPE. • Hospitality businesses can reopen but patrons must be seated separate and have single servers.,real
RT @CDCDirector: We do not know yet if the antibodies can protect you from #COVID19 reinfection. Regardless of your antibody test results…,real
This is an image of a suspected coronavirus vaccine causing COVID-19.,fake
"We can’t forget that in the middle of a global pandemic, the Trump Administration is trying to gut Obamacare and rip health insurance away from millions. It's morally reprehensible.",fake
#IndiaFightsCorona Focused and effective efforts of containment testing isolation and treatment have resulted in increasing percentage recovery rates and steadily falling percentage active cases. https://t.co/GWHeeWBb9s,real
November 2019 job listing for a quarantine advisor at the Centers for Disease Control and Prevention prove the government knew the COVID-19 would hit United States.,fake
Actress Angel Locsin tested positive for COVID-19 in a second test.,fake
Iranians have published a report saying that coronavirus is a biological warfare.,fake
Our reopening metrics provide important benchmarks for considering how and when to #ReopenSafely but ultimately it’s a case-by-case decision and includes other factors such as PPE availability ability to trace positive cases and much more.,real
Today the Midwest South and West all reported their highest number of cases since the start of the pandemic. https://t.co/7kx7ePvA0c,real
126 new cases of #COVID19Nigeria; FCT-37 Lagos-27 Plateau-16 Kaduna-9 Abia-7 Gombe-6 Ondo-6 Imo-5 Delta-2 Ekiti-2 Kwara-2 Oyo-2 Bauchi-1 Kano-1 Katsina-1 Ogun-1 Yobe-1 56604 confirmed 47872 discharged 1091 deaths https://t.co/r8TbTBrnhr,real
Image showing the condition of a flooded COVID-19 ward in a hospital in Bihar,fake
.@SpeakerPelosi compared state and local aid from a proposed coronavirus relief bill to debt she said was incurred by a 2017 tax bill. Her comparison has merit but is missing context. https://t.co/5CnFeiID66,fake
5G technology is responsible for the increasing number of deaths from COVID-19.,fake
To slow the spread of the virus that causes #COVID19 a U.S. Air Force Basic Military Training in Texas used a series of public health mitigation strategies between March 1 - April 18 2020. Read more from @CDCMMWR: https://t.co/uYBfzUWVUE. https://t.co/iRm6dWhVYN,real
Alabama Town Fights PAN-demic https://t.co/ucSj8aIcqd #america #coronavirus #pandemic #covid19 #kitchen #warnings,fake
NEWS! Man planning to spend lockdown writing a novel will probably just wank himself into an early grave https://t.co/IsJApui0AG https://t.co/TGys6iorYV,fake
~70% of the increase in deaths came from outside New York as the outbreak burden continues to spread.,real
New Zealand is in a good position due to the hard work and sacrifices of kiwis. Even though we are looking at a possible move to Alert Level 1 pending Cabinet’s decision we need to remain vigilant.,real
"Raymond Royce Rife developed a method using sound frequencies to cure cancer 100% and kill bacteria and viruses. It was harmless, quick virtually free and100% effective as he scanned the frequencies amplitude and characteristics.
Guess what. He &amp; his work was erased by big pharma https://t.co/96dicOWNnZ",fake
Image of Tablighi Jamaat member beaten up by UP Police for misbehaving with a nurse in the Ghazibad quarantine,fake
There are 37 people isolating in the Auckland quarantine facility from the community which includes 17 people who have tested positive for COVID-19 and their household contacts.,real
We’re prepared to test thousands of people in the coming days. Staff from DHBS are being redeployed to testing centres both in the community and to do testing in Managed Isolation and Quarantine facilities.,real
The U.S. doesn't have enough monkeys for vaccine testing and China has halted exports. https://t.co/YJeNHV7pqm,real
The government has come under pressure over a lack of availability of #COVID19 tests. Read more here: https://t.co/lMM9qgW2Xl https://t.co/HzW6Y1GrC1,real
".@Univcordoba clinical trial started by dosing COVID-19 patients with #HCQ, but then that #chloroquine cargo cult ship has sailed, or rather ran aground. Hence the clever investigators quickly switched to a new magic drug, #VitaminD. https://t.co/NF2KMD6DQT",fake
As India rides the wave of very HIGH testing several States/UTs have demonstrated better #COVID19 response with higher Tests Per Million (TPM) and commensurate lower Positivity Rate than the national average.,real
CORRECTION: Ireland's cabinet has to self-isolate after health minister is reportedly tested for coronavirus https://t.co/9N5RWhuX9t,real
Cardiac MRI scans showed that up to 35% of Big 10 athletes who tested positive for COVID also had myocarditis. https://t.co/NDYS0S6EN1,real
KOWHEORI-19 (COVID-19) Update There are no new cases of COVID-19 to report in New Zealand today.,real
Don’t put family at risk for #COVID19 by visiting them in person. Call grandparents or invite them to a video chat. Keep your loved ones safe by staying connected while physically distant: https://t.co/0D99fLmeyc. #PhysicalDistance #TogetherAlone https://t.co/plXt2ULaiA,real
RT @CNNnews18: #CoronavirusOutbreak | Covid-19 has affected more than 100 countries it has claimed 2% of lives of the total people who hav…,real
@luvhopecourage Not really. At least not with the type of tests that are currently being used. They're pretty complex and they require specialized supplies that are not available in huge quantities. -@alexismadrigal,real
#covid19 #coronavirus #INDIA #coronavirusupdate America Supports Muslims and thrashed indian Godi media 👇 https://t.co/1RqiQLc6bV,fake
Writer sees sales soar thanks to coronavirus https://t.co/yHIEaKMC0k #coronavirus #selfdepricating,fake
Japanese Nobel laureate Tasuku Honjo declared that coronavirus is man-made and is created by China.,fake
Social media users claimed Ghana did poorly with respect to food distribution amid the COVID-19 season when compared to Niger Nigeria and Rwanda.,fake
"Orwell not dead, but living under a bridge (continued) https://t.co/EmtpRMdV16 #government #toiletpaper #homelessness #coronavirus",fake
#IndiaFightsCorona In its collaborative and determined fight against #COVID19 India has scaled a new peak. 66500 the highest number of patients have recovered and been discharged yesterday. https://t.co/8dFhF3pvPa,real
